,pesticide,genotype,rep,dose,alive,dead,total,percent_survival,percent_mortality,stage,date,conditions
171,imidacloprid,mdr50ko,1,0.05,29,21,50,0,0.42,L1,7.3.16,25d_Hoff
172,imidacloprid,mdr50ko,2,0.05,29,21,50,0,0.42,L1,7.3.16,25d_Hoff
173,imidacloprid,mdr50ko,3,0.05,34,16,50,0,0.32,L1,7.3.16,25d_Hoff
174,imidacloprid,mdr50ko,4,0.05,32,18,50,0,0.36,L1,7.3.16,25d_Hoff
175,imidacloprid,mdr50ko,5,0.05,26,24,50,0,0.48,L1,7.3.16,25d_Hoff
176,imidacloprid,mdr65ko,1,0.05,12,38,50,0,0.76,L1,7.3.16,25d_Hoff
177,imidacloprid,mdr65ko,2,0.05,16,34,50,0,0.68,L1,7.3.16,25d_Hoff
178,imidacloprid,mdr65ko,3,0.05,15,35,50,0,0.7,L1,7.3.16,25d_Hoff
179,imidacloprid,mdr65ko,4,0.05,28,22,50,0,0.44,L1,7.3.16,25d_Hoff
180,imidacloprid,mdr65ko,5,0.05,6,44,50,0,0.88,L1,7.3.16,25d_Hoff
181,imidacloprid,wxac,1,0.15,12,38,50,0,0.76,L1,7.3.16,25d_Hoff
182,imidacloprid,wxac,2,0.15,21,29,50,0,0.58,L1,7.3.16,25d_Hoff
183,imidacloprid,wxac,3,0.15,14,36,50,0,0.72,L1,7.3.16,25d_Hoff
184,imidacloprid,wxac,4,0.15,7,43,50,0,0.86,L1,7.3.16,25d_Hoff
185,imidacloprid,wxac,5,0.15,20,30,50,0,0.6,L1,7.3.16,25d_Hoff
186,imidacloprid,mdr49ko,1,0.15,3,47,50,0,0.94,L1,7.3.16,25d_Hoff
187,imidacloprid,mdr49ko,2,0.15,11,39,50,0,0.78,L1,7.3.16,25d_Hoff
188,imidacloprid,mdr49ko,3,0.15,13,37,50,0,0.74,L1,7.3.16,25d_Hoff
189,imidacloprid,mdr49ko,4,0.15,10,40,50,0,0.8,L1,7.3.16,25d_Hoff
190,imidacloprid,mdr49ko,5,0.15,9,41,50,0,0.82,L1,7.3.16,25d_Hoff
191,imidacloprid,mdr50ko,1,0.15,5,45,50,0,0.9,L1,7.3.16,25d_Hoff
192,imidacloprid,mdr50ko,2,0.15,6,44,50,0,0.88,L1,7.3.16,25d_Hoff
193,imidacloprid,mdr50ko,3,0.15,7,43,50,0,0.86,L1,7.3.16,25d_Hoff
194,imidacloprid,mdr50ko,4,0.15,6,44,50,0,0.88,L1,7.3.16,25d_Hoff
195,imidacloprid,mdr50ko,5,0.15,7,43,50,0,0.86,L1,7.3.16,25d_Hoff
196,imidacloprid,mdr65ko,1,0.15,1,49,50,0,0.98,L1,7.3.16,25d_Hoff
197,imidacloprid,mdr65ko,2,0.15,1,49,50,0,0.98,L1,7.3.16,25d_Hoff
198,imidacloprid,mdr65ko,3,0.15,0,50,50,0,1,L1,7.3.16,25d_Hoff
199,imidacloprid,mdr65ko,4,0.15,3,47,50,0,0.94,L1,7.3.16,25d_Hoff
200,imidacloprid,mdr65ko,5,0.15,1,49,50,0,0.98,L1,7.3.16,25d_Hoff
201,imidacloprid,wxac,1,0.25,10,40,50,0,0.8,L1,7.3.16,25d_Hoff
202,imidacloprid,wxac,2,0.25,9,41,50,0,0.82,L1,7.3.16,25d_Hoff
203,imidacloprid,wxac,3,0.25,11,39,50,0,0.78,L1,7.3.16,25d_Hoff
204,imidacloprid,wxac,4,0.25,7,43,50,0,0.86,L1,7.3.16,25d_Hoff
205,imidacloprid,wxac,5,0.25,12,38,50,0,0.76,L1,7.3.16,25d_Hoff
206,imidacloprid,mdr49ko,1,0.25,8,42,50,0,0.84,L1,7.3.16,25d_Hoff
207,imidacloprid,mdr49ko,2,0.25,6,44,50,0,0.88,L1,7.3.16,25d_Hoff
208,imidacloprid,mdr49ko,3,0.25,5,45,50,0,0.9,L1,7.3.16,25d_Hoff
209,imidacloprid,mdr49ko,4,0.25,6,44,50,0,0.88,L1,7.3.16,25d_Hoff
210,imidacloprid,mdr49ko,5,0.25,5,45,50,0,0.9,L1,7.3.16,25d_Hoff
211,imidacloprid,mdr50ko,1,0.25,3,47,50,0,0.94,L1,7.3.16,25d_Hoff
212,imidacloprid,mdr50ko,2,0.25,2,48,50,0,0.96,L1,7.3.16,25d_Hoff
213,imidacloprid,mdr50ko,3,0.25,2,48,50,0,0.96,L1,7.3.16,25d_Hoff
214,imidacloprid,mdr50ko,4,0.25,0,50,50,0,1,L1,7.3.16,25d_Hoff
215,imidacloprid,mdr50ko,5,0.25,0,50,50,0,1,L1,7.3.16,25d_Hoff
216,imidacloprid,mdr65ko,1,0.25,0,50,50,0,1,L1,7.3.16,25d_Hoff
217,imidacloprid,mdr65ko,2,0.25,0,50,50,0,1,L1,7.3.16,25d_Hoff
218,imidacloprid,mdr65ko,3,0.25,0,50,50,0,1,L1,7.3.16,25d_Hoff
219,imidacloprid,mdr65ko,4,0.25,0,50,50,0,1,L1,7.3.16,25d_Hoff
220,imidacloprid,mdr65ko,5,0.25,0,50,50,0,1,L1,7.3.16,25d_Hoff
221,imidacloprid,wxac,1,0,44,6,50,0.88,0.12,L1,7.3.16,25d_Hoff
222,imidacloprid,wxac,2,0,45,5,50,0.9,0.1,L1,7.3.16,25d_Hoff
223,imidacloprid,wxac,3,0,47,3,50,0.94,0.06,L1,7.3.16,25d_Hoff
224,imidacloprid,wxac,4,0,41,9,50,0.82,0.18,L1,7.3.16,25d_Hoff
225,imidacloprid,wxac,5,0,48,2,50,0.96,0.04,L1,7.3.16,25d_Hoff
226,imidacloprid,mdr49ko,1,0,39,11,50,0.78,0.22,L1,7.3.16,25d_Hoff
227,imidacloprid,mdr49ko,2,0,41,9,50,0.82,0.18,L1,7.3.16,25d_Hoff
228,imidacloprid,mdr49ko,3,0,43,7,50,0.86,0.14,L1,7.3.16,25d_Hoff
229,imidacloprid,mdr49ko,4,0,42,8,50,0.84,0.16,L1,7.3.16,25d_Hoff
230,imidacloprid,mdr49ko,5,0,32,18,50,0.64,0.36,L1,7.3.16,25d_Hoff
231,imidacloprid,mdr50ko,1,0,43,7,50,0.86,0.14,L1,7.3.16,25d_Hoff
232,imidacloprid,mdr50ko,2,0,44,6,50,0.88,0.12,L1,7.3.16,25d_Hoff
233,imidacloprid,mdr50ko,3,0,44,6,50,0.88,0.12,L1,7.3.16,25d_Hoff
234,imidacloprid,mdr50ko,4,0,41,9,50,0.82,0.18,L1,7.3.16,25d_Hoff
235,imidacloprid,mdr50ko,5,0,40,10,50,0.8,0.2,L1,7.3.16,25d_Hoff
